estado;num_gestiona;pertenece_a_licitacion;es_licitacion;fecha_oferta;agente_comercial;oficina;tipo_servicio;grupo;cliente;objeto;origen;comentarios;;presupuesto_total;gastos_estimados;tecnico_t1;fin_licitacion;ingresos_2026;ingresos_2027;ingresos_2028;ingresos_2029;ingresos_2030
EN CURSO;T OV-20256301;NO;;11/11/2025;BRL;NAVARRA;ATEX;IMQ;MAPNER;FORMACION ATEX ONLINE IMQ MAPNER;CLIENTE ANTIGUO;;;300,00 €;180;;;;;;;
RECHAZADO;T OV-20256310;NO;;11/11/2025;ELA;MADRID;ATEX;AVANTA;INPELSA;DPCEX PLANTA ;CLIENTE NUEVO;;;2.025,00 €;340;ELA;;;;;;
EN CURSO;T OV-20256315;NO;;11/11/2025;BRL;NAVARRA;ATEX;GESTANOR;STS TUBULAR;DPCEX GESTANOR STS TUBULAR;CLIENTE ANTIGUO;;;1.360,00 €;120;;;;;;;
ACEPTADO;T OV-20256318;NO;;11/11/2025;ELA;NAVARRA;ATEX;VISCOFAN;VISCOFAN;ACTUALIZACIÓN DPCE ELECTROLIZADOR;CLIENTE ANTIGUO;;;1.950,00 €;480;ELA;;;;;;
EN CURSO;T OV-20255744;NO;;13/11/2025;RAP;NAVARRA;IMPLANTACION;HEINZ;HEINZ MANUFACTURING SPAIN;SIMULACROS HEINZ 2025;CLIENTE ANTIGUO;;;1.270,00 €;75;RAP;;;;;;
EN CURSO;T OV-20256280;NO;;10/11/2025;RAP;NAVARRA;AUTOPROTECCION;GRUPO ZARAGOZA;GRUPO ZARAGOZA;PAU + PAIF+ IMPLANTACION PFV VILLANUEVA;CLIENTE ANTIGUO;;;3.740,00 €;500;RAP;;;;;;
EN CURSO;T OV-20256281;NO;;10/11/2025;RAP;NAVARRA;AUTOPROTECCION;GRUPO ZARAGOZA;GRUPO ZARAGOZA;PAU + PAIF+ IMPLANTACION PFV PINATAR;CLIENTE ANTIGUO;;;4.525,00 €;500;RAP;;;;;;
EN CURSO;T OV-20255750;NO;;10/11/2025;RAP;NAVARRA;AUTOPROTECCION;GOBIERNO DE NAVARRA;NICDO;REV PAU BALUARTE;CLIENTE ANTIGUO;;;2.475,00 €;150;RAP;;;;;;
EN CURSO;T OV-20256347;NO;;13/11/2025;JMR;NAVARRA;AUTOPROTECCION;EXUS;DAGA;PAU BESS SASITA Y OZTEGUIN;CLIENTE ANTIGUO;;;2.460,00 €;20;;;;;;;
EN CURSO;T OV-20256351;NO;;13/11/2025;JMR;NAVARRA;S. ELECTRICOS;EMASESA;EMASESA;SELECTIVIDAD DE PROTECCIONES EDAR NORTE;CLIENTE NUEVO;;;5.590,00 €;0;;;;;;;
EN CURSO;T OV-20256352;NO;;13/11/2025;JMR;NAVARRA;S. ELECTRICOS;EMASESA;EMASESA;ETIQUETAS EDAR NORTE ;CLIENTE ANTIGUO;;;706,00 €;270;;;;;;;
ACEPTADO;T OV-20255761C;NO;SI;13/11/2025;JMR;NAVARRA;S. ELECTRICOS;X-ELIO;X-ELIO;LICITACION LEGISLACION RIESGO ELECTRICO;CLIENTE ANTIGUO;Lo sacan de licitacion para adjudicacion directa de la 1 fase;;5.000,00 €;0;;;;;;;
EN CURSO;T OV-20256353;NO;;13/11/2025;JMR;NAVARRA;S. ELECTRICOS;DIAMOND FOUNDRY;DIAMOND FOUNDRY;TERMOGRAFIAS EN INTERUPTORES DE 5000A;CLIENTE NUEVO;1500 € CADA INFORME;;3.000,00 €;250;;;;;;;
ACEPTADO;T OV-20256360;SI;;13/11/2025;DPV;MADRID;AUTOPROTECCION;NATURGY;UFD;UFD 118A (SET O BARCO);CLIENTE ANTIGUO;;;1.647,50 €;99;;;;;;;
ACEPTADO;T OV-20256359;NO;NO;13/11/2025;ELA;MADRID;ATEX;FCC ;FCC MEDIO AMBIENTE ;DPCEx ESTACIÓN GNC;CLIENTE ANTIGUO;;;2.700,00 €;460;ELA;;;;;;
EN CURSO;T OV-20256370;NO;;14/11/2025;DPV;MADRID;AUTOPROTECCION;NUEVA GENERADORA DEL SUR, NGS;NUEVA GENERADORA DEL SUR, NGS;REV MENOR PAU CAMPO GIBRALTAR;CLIENTE ANTIGUO;;;420,00 €;0;DPV;;;;;;
EN CURSO;T OV-20256441;SI;;05/06/2025;RAP;NAVARRA;AUTOPROTECCION;ENEL GREEN POWER;ENEL GREEN POWER;H14_CH_198_199_200_201_202_203_204_205 (8PAU+PAIF);CLIENTE ANTIGUO;;;18.400,00 €;2208;RAP;;;;;;
ACEPTADO;T OV-20256444;SI;;19/11/2025;DPV;MADRID;AUTOPROTECCION;NATURGY;UFD;SET VILLACASTIN Y SET GUADALAJARA;CLIENTE ANTIGUO;;;3.295,00 €;198;JDR;;;;;;
ACEPTADO;T OV-20256476;NO;;20/11/2025;ELA;MADRID;ATEX;REGANOSA;REGANOSA;FORMACIÓN ISM-ATEX RN1EM;CLIENTE ANTIGUO;;;6.835,00 €;1760;ELA;;;;;;
ACEPTADO;T OV-20256487;SI;;20/11/2025;DPV;MADRID;AUTOPROTECCION;NATURGY;UFD;UFD 117A (SET CHANTADA);CLIENTE ANTIGUO;;;1.647,50 €;99;JDR;;;;;;
EN CURSO;T OV-20256521;NO;;24/11/2025;BRL;NAVARRA;ATEX;HERA HOLDING;HERA HOLDING;HERA HOLDING FORMACION ATEX 14 HORAS ONLINE;CLIENTE ANTIGUO;;;427,00 €;0;COLAB.;;;;;;
EN CURSO;T OV-20256525;NO;;24/11/2025;BRL;NAVARRA;LOTO;CENER;CENER SANGUESA;SUMINSTRO 10 ALDABAS;CLIENTE ANTIGUO;;;69,99 €;42;;;;;;;
ACEPTADO;T OV-20256531;NO;;24/11/2025;BRL;NAVARRA;LOTO;MAGOTTEAUX;MAGOTTEAUX;MAGOTTEAUX FORMACION CONSIGNACION LOTO 3 HORAS;CLIENTE ANTIGUO;;;395,00 €;0;IRE;;;;;;
EN CURSO;T OV-20256533;NO;;24/11/2025;BRL;NAVARRA;LOTO;VIBRANTZ;VIBRANTZ;VIBRANTZ FICHAS DE BLOQUEO MAQUINAS NUEVAS 2025;CLIENTE ANTIGUO;;;1.885,00 €;96;IRE;;;;;;
