Nº trabajo;OFERTA GESTIONA;EXP GESTIONA;TIPO EXP.;FECHA INICIO;FECHA ENTREGA;TECNICO RBLE;T1;SERVICIO ;TIPO SERVICIO;GRUPO;ICA;PPTO. TOTAL (SIN IVA);GASTOS (EST.);HORAS PRESUP (HP);HORAS 2025;HORAS RESTANTES;TOTAL H (2024 + 2025);% HR/HP  AÑO;Tomás;Jokin;Cristian;Belén;Raúl;Ánder;Bryan;Maddie;Iñaki;Javier;M. Ángel;Paula;Pilar;David;J. Antonio;Elena;Laura;Hacomar;T2;T3;PEDIDO;FECHA FINALIZACIÓN;VB CLIE. ;FECHA FACTURACION;Columna1;Nº Fact;;;;
3035;T OV-20260312;T23-SIN-08-3216;ANUAL;ene-26;dic-26;AEL;AEL;CSTMP OLEOFAT;CSTMP;OLEOFAT;OLEOFAT;1.440,00 €;50,00 €;23,17;0;15,17;8;34,53;0;0;0;0;0;8;0;0;0;0;0;0;0;0;0;0;0;0;;;;;NO;;;;;;;
3036;T OV-20260313;T24-SIN-08-0296;ANUAL;ene-26;dic-26;AEL;AEL;CSTMP TNO;CSTMP;OLEOFAT;TNO;1.440,00 €;50,00 €;23,17;0;22,17;1;4,32;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;;;;;NO;;;;;;;
3037;T OV-20260403;T24-SIN-08-1206;ANUAL;ene-26;dic-26;AEL;BLO;CSTMP CYCLE 0;CSTMP;CYCLE 0;CYCLE 0;3.515,00 €;375,00 €;52,33;0;49,33;3;5,73;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;;;;;NO;;;;;;;
3038;T OV-20260402;T24-SIN-08-2978;ANUAL;ene-26;dic-26;AEL;JMR;CSTMP IMQ CETEST;CSTMP;IMQ PREVENCION;CETEST;1.370,00 €;50,00 €;22;0;17;5;22,73;0;1,5;0;0;0;3,5;0;0;0;0;0;0;0;0;0;0;0;0;;;;;NO;;;;;;;
3039;T OV-20260404;T25-SIN-08-0808;ANUAL;feb-26;dic-26;AEL;BLO;CSTMP IMQ H2SITE;CSTMP;IMQ PREVENCION;H2SITE;1.580,00 €;115,00 €;24,42;0;22,67;1,75;7,17;0;0;0;0;0;0,5;1,25;0;0;0;0;0;0;0;0;0;0;0;;;;;NO;;;;;;;
3040;T OV-20260395;T18-SIN-08-1465;ANUAL;abr-26;jun-26;AEL;BLO;CSTMP REGANOSA 2T 2026;CSTMP;REGANOSA;REGANOSA;792,50 €;125,00 €;11,13;0;11,13;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;NO;;;;;;;
3041;T OV-20260387;T26-SIN-08-0583;ANUAL;jun-26;dic-26;AEL;AEL;CSTMP TERMOSOLAR MAJADAS 2026-2028 SEGUNDO SEMESTRE;CSTMP;CONTOUR GLOBAL;TERMOSOLAR MAJADAS;1.580,00 €;200,00 €;23;0;23;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;NO;;;;;;;
3042;T OV-20260351;T21-SIN-08-0146;ANUAL;ene-26;dic-26;AEL;AEL;CSTMP MARQUESADO SOLAR 2026;CSTMP;MARQUESADO SOLAR;MARQUESADO SOLAR;1.586,00 €;200,00 €;23,1;0;19,1;4;17,32;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;;;;;NO;;;;;;;
3043;T OV-20260374;T26-SIN-08-0144;ANUAL;ene-26;dic-26;AEL;AEL;CSTMP BIOMASA LOGROSÁN (T OV-20255786);CSTMP;ACCIONA;ACCIONA GENERACION RENOVABLE;3.018,00 €;400,00 €;43,63;;23,13;20,5;46,98;0;0;0;0;0;20,5;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;
3044;T OV-20260421;T21-SIN-08-1262;ANUAL;ene-26;dic-26;AEL;PRW;FORMACION MMPP ARGAL;CSTMP;INDUSTRIAS CARNICAS;INDUSTRIAS CARNICAS;400,00 €;0,00 €;6,67;;6,67;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;
3045;T OV-20260661;T26-SIN-08-1378;ANUAL;mar-26;dic-26;AEL;AEL;CSTMP ALCORIOJA;CSTMP;CONGELADOS DE NAVARRA;ALCORIOJA;1.795,00 $;100,00 $;28,25;0;28,25;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;
4000;____;____;____;____;____;____;____;____;____;____;____;____;____;____;____;____;____;____;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;
4001;T OV-20230125;T23-SIN-02-0363;PUNTUAL;ene-26;feb-26;AEL;AEL;*2: IARA SCHMIDT&CLEMENS;MEDIO AMBIENTE;SCHMIDT&CLEMENS;SCHMIDT&CLEMENS;2.850,00 €;50,00 €;46,67;7,5;37,67;9;19,29;0;0;0;0;0;1,5;0;0;0;0;0;0;0;0;0;0;0;0;;;CLIENTE;30/03/2026;SI;31/03/2026;;2026001764;;;;
4002;T OV-20234281;T23-SIN-07-3257;PUNTUAL;jul-21;abr-24;TTG;CPV;3: 1SIM+3DIV NAVE PERSONAL MRG;AUTOPROTECCION;MADRILEÑA RED DE GAS;MADRILEÑA RED DE GAS;1.310,00 €;124,00 €;19,77;0;19,77;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;CLIENTE;;NO;;;;;;;
4003;T OV-20234188;T17-SIN-07-0497;PUNTUAL;jul-21;dic-24;DPV;DPV;PLAN INTERIOR MARITIMO TP LOS BARRIOS;AUTOPROTECCION;ENEL GREEN POWER;ENDESA GENERACION;2.880,00 €;100,00 €;46,33;22;24,33;22;47,48;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;AEL;;CLIENTE;;NO;;;;;;;
